Job:  minatar-freeway-N6 (44484569)
Node: holygpu8a13101.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=6 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.3600000143051147, 'steps': 0}
{'sec': 1.0287327766418457, 'minatar-freeway/eval_R': 2.2699999809265137, 'steps': 3145728}
{'sec': 2.0510873794555664, 'minatar-freeway/eval_R': 3.2899999618530273, 'steps': 6291456}
{'sec': 3.07421612739563, 'minatar-freeway/eval_R': 4.690000057220459, 'steps': 9437184}
{'sec': 4.098261833190918, 'minatar-freeway/eval_R': 6.210000038146973, 'steps': 12582912}
{'sec': 5.1218085289001465, 'minatar-freeway/eval_R': 8.359999656677246, 'steps': 15728640}
{'sec': 6.144863128662109, 'minatar-freeway/eval_R': 9.760000228881836, 'steps': 18874368}
{'sec': 7.170681953430176, 'minatar-freeway/eval_R': 12.079999923706055, 'steps': 22020096}
{'sec': 8.19484543800354, 'minatar-freeway/eval_R': 14.389999389648438, 'steps': 25165824}
{'sec': 9.218788385391235, 'minatar-freeway/eval_R': 15.949999809265137, 'steps': 28311552}
{'sec': 10.24181079864502, 'minatar-freeway/eval_R': 18.15999984741211, 'steps': 31457280}
{'sec': 11.265614748001099, 'minatar-freeway/eval_R': 19.270000457763672, 'steps': 34603008}
{'sec': 12.289613008499146, 'minatar-freeway/eval_R': 20.809999465942383, 'steps': 37748736}
{'sec': 13.313863277435303, 'minatar-freeway/eval_R': 22.309999465942383, 'steps': 40894464}
{'sec': 14.336958169937134, 'minatar-freeway/eval_R': 24.01999855041504, 'steps': 44040192}
{'sec': 15.360607147216797, 'minatar-freeway/eval_R': 25.119998931884766, 'steps': 47185920}
{'sec': 16.3843731880188, 'minatar-freeway/eval_R': 26.579999923706055, 'steps': 50331648}
{'sec': 17.407676219940186, 'minatar-freeway/eval_R': 26.68000030517578, 'steps': 53477376}
{'sec': 18.431793689727783, 'minatar-freeway/eval_R': 29.049999237060547, 'steps': 56623104}
{'sec': 19.45729398727417, 'minatar-freeway/eval_R': 30.349998474121094, 'steps': 59768832}
{'sec': 20.482101440429688, 'minatar-freeway/eval_R': 31.799999237060547, 'steps': 62914560}
{'sec': 21.506877422332764, 'minatar-freeway/eval_R': 33.48999786376953, 'steps': 66060288}
{'sec': 22.530471324920654, 'minatar-freeway/eval_R': 33.939998626708984, 'steps': 69206016}
{'sec': 23.55402159690857, 'minatar-freeway/eval_R': 34.709999084472656, 'steps': 72351744}
{'sec': 24.576977491378784, 'minatar-freeway/eval_R': 35.459999084472656, 'steps': 75497472}
{'sec': 25.601482629776, 'minatar-freeway/eval_R': 36.38999938964844, 'steps': 78643200}
{'sec': 26.62501859664917, 'minatar-freeway/eval_R': 36.31999969482422, 'steps': 81788928}
{'sec': 27.64789867401123, 'minatar-freeway/eval_R': 38.54999923706055, 'steps': 84934656}
{'sec': 28.671080827713013, 'minatar-freeway/eval_R': 38.75, 'steps': 88080384}
{'sec': 29.695002555847168, 'minatar-freeway/eval_R': 39.98999786376953, 'steps': 91226112}
{'sec': 30.71800684928894, 'minatar-freeway/eval_R': 40.88999938964844, 'steps': 94371840}
{'sec': 31.741526126861572, 'minatar-freeway/eval_R': 41.29999923706055, 'steps': 97517568}
{'sec': 32.76458215713501, 'minatar-freeway/eval_R': 41.71999740600586, 'steps': 100663296}
{'sec': 33.78846859931946, 'minatar-freeway/eval_R': 41.90999984741211, 'steps': 103809024}
{'sec': 34.81204271316528, 'minatar-freeway/eval_R': 41.82999801635742, 'steps': 106954752}
{'sec': 35.83444094657898, 'minatar-freeway/eval_R': 43.689998626708984, 'steps': 110100480}
{'sec': 36.85760688781738, 'minatar-freeway/eval_R': 43.91999816894531, 'steps': 113246208}
{'sec': 37.88194036483765, 'minatar-freeway/eval_R': 43.64999771118164, 'steps': 116391936}
{'sec': 38.90604901313782, 'minatar-freeway/eval_R': 43.54999923706055, 'steps': 119537664}
{'sec': 39.92914652824402, 'minatar-freeway/eval_R': 45.13999938964844, 'steps': 122683392}
