Job:  minatar-freeway-N5 (44484568)
Node: holygpu8a11603.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=5 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.5699999332427979, 'steps': 0}
{'sec': 0.9101855754852295, 'minatar-freeway/eval_R': 2.419999837875366, 'steps': 2621440}
{'sec': 1.8180222511291504, 'minatar-freeway/eval_R': 3.4700000286102295, 'steps': 5242880}
{'sec': 2.7262022495269775, 'minatar-freeway/eval_R': 4.529999732971191, 'steps': 7864320}
{'sec': 3.6337618827819824, 'minatar-freeway/eval_R': 6.819999694824219, 'steps': 10485760}
{'sec': 4.541428565979004, 'minatar-freeway/eval_R': 8.15999984741211, 'steps': 13107200}
{'sec': 5.449135065078735, 'minatar-freeway/eval_R': 10.800000190734863, 'steps': 15728640}
{'sec': 6.357205152511597, 'minatar-freeway/eval_R': 13.109999656677246, 'steps': 18350080}
{'sec': 7.265195608139038, 'minatar-freeway/eval_R': 14.739999771118164, 'steps': 20971520}
{'sec': 8.171503782272339, 'minatar-freeway/eval_R': 17.440000534057617, 'steps': 23592960}
{'sec': 9.079399585723877, 'minatar-freeway/eval_R': 19.520000457763672, 'steps': 26214400}
{'sec': 9.987598896026611, 'minatar-freeway/eval_R': 20.689998626708984, 'steps': 28835840}
{'sec': 10.895151138305664, 'minatar-freeway/eval_R': 23.779998779296875, 'steps': 31457280}
{'sec': 11.804035902023315, 'minatar-freeway/eval_R': 24.28999900817871, 'steps': 34078720}
{'sec': 12.712766170501709, 'minatar-freeway/eval_R': 25.760000228881836, 'steps': 36700160}
{'sec': 13.620899438858032, 'minatar-freeway/eval_R': 26.829999923706055, 'steps': 39321600}
{'sec': 14.529368162155151, 'minatar-freeway/eval_R': 27.260000228881836, 'steps': 41943040}
{'sec': 15.436834812164307, 'minatar-freeway/eval_R': 29.60999870300293, 'steps': 44564480}
{'sec': 16.34448003768921, 'minatar-freeway/eval_R': 30.739999771118164, 'steps': 47185920}
{'sec': 17.25292205810547, 'minatar-freeway/eval_R': 32.61000061035156, 'steps': 49807360}
{'sec': 18.16109323501587, 'minatar-freeway/eval_R': 33.13999938964844, 'steps': 52428800}
{'sec': 19.068377256393433, 'minatar-freeway/eval_R': 33.869998931884766, 'steps': 55050240}
{'sec': 19.975974082946777, 'minatar-freeway/eval_R': 34.93000030517578, 'steps': 57671680}
{'sec': 20.884401082992554, 'minatar-freeway/eval_R': 35.209999084472656, 'steps': 60293120}
{'sec': 21.792476177215576, 'minatar-freeway/eval_R': 36.869998931884766, 'steps': 62914560}
{'sec': 22.700191020965576, 'minatar-freeway/eval_R': 37.47999954223633, 'steps': 65536000}
{'sec': 23.607990264892578, 'minatar-freeway/eval_R': 37.540000915527344, 'steps': 68157440}
{'sec': 24.516077756881714, 'minatar-freeway/eval_R': 38.80999755859375, 'steps': 70778880}
{'sec': 25.424530506134033, 'minatar-freeway/eval_R': 39.30999755859375, 'steps': 73400320}
{'sec': 26.332395315170288, 'minatar-freeway/eval_R': 41.52000045776367, 'steps': 76021760}
{'sec': 27.239951848983765, 'minatar-freeway/eval_R': 40.73999786376953, 'steps': 78643200}
{'sec': 28.148871183395386, 'minatar-freeway/eval_R': 42.89999771118164, 'steps': 81264640}
{'sec': 29.05729341506958, 'minatar-freeway/eval_R': 42.48999786376953, 'steps': 83886080}
{'sec': 29.964946746826172, 'minatar-freeway/eval_R': 42.89999771118164, 'steps': 86507520}
{'sec': 30.87259292602539, 'minatar-freeway/eval_R': 43.7599983215332, 'steps': 89128960}
{'sec': 31.781298875808716, 'minatar-freeway/eval_R': 44.43000030517578, 'steps': 91750400}
{'sec': 32.68850779533386, 'minatar-freeway/eval_R': 43.939998626708984, 'steps': 94371840}
{'sec': 33.595300912857056, 'minatar-freeway/eval_R': 44.75, 'steps': 96993280}
{'sec': 34.502687215805054, 'minatar-freeway/eval_R': 45.189998626708984, 'steps': 99614720}
{'sec': 35.411269426345825, 'minatar-freeway/eval_R': 45.53999710083008, 'steps': 102236160}
{'sec': 36.31891965866089, 'minatar-freeway/eval_R': 46.09000015258789, 'steps': 104857600}
{'sec': 37.22688055038452, 'minatar-freeway/eval_R': 47.65999984741211, 'steps': 107479040}
{'sec': 38.13554525375366, 'minatar-freeway/eval_R': 48.41999816894531, 'steps': 110100480}
{'sec': 39.044137716293335, 'minatar-freeway/eval_R': 47.90999984741211, 'steps': 112721920}
{'sec': 39.95091462135315, 'minatar-freeway/eval_R': 47.37999725341797, 'steps': 115343360}
{'sec': 40.85892105102539, 'minatar-freeway/eval_R': 47.75, 'steps': 117964800}
{'sec': 41.76654028892517, 'minatar-freeway/eval_R': 48.32999801635742, 'steps': 120586240}
{'sec': 42.67455697059631, 'minatar-freeway/eval_R': 48.84000015258789, 'steps': 123207680}
{'sec': 43.58153057098389, 'minatar-freeway/eval_R': 49.07999801635742, 'steps': 125829120}
{'sec': 44.49038004875183, 'minatar-freeway/eval_R': 49.82999801635742, 'steps': 128450560}
{'sec': 45.39690685272217, 'minatar-freeway/eval_R': 49.68000030517578, 'steps': 131072000}
{'sec': 46.30466365814209, 'minatar-freeway/eval_R': 49.68000030517578, 'steps': 133693440}
{'sec': 47.21166515350342, 'minatar-freeway/eval_R': 49.119998931884766, 'steps': 136314880}
{'sec': 48.119832038879395, 'minatar-freeway/eval_R': 50.52000045776367, 'steps': 138936320}
{'sec': 49.027116537094116, 'minatar-freeway/eval_R': 50.87999725341797, 'steps': 141557760}
{'sec': 49.9349467754364, 'minatar-freeway/eval_R': 51.0099983215332, 'steps': 144179200}
{'sec': 50.84180760383606, 'minatar-freeway/eval_R': 51.30999755859375, 'steps': 146800640}
{'sec': 51.749515771865845, 'minatar-freeway/eval_R': 52.11000061035156, 'steps': 149422080}
